City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
2070998,geraldton,AU,1644099845,-28.7667,114.6,73.81,88,100,10.36
1819729,victoria,HK,1644099916,22.2855,114.1577,60.24,83,100,1.99
2017155,saskylakh,RU,1644099752,71.9167,114.0833,-27.76,100,99,3.31
1626099,sumenep,ID,1644100006,-7.0167,113.8667,77.5,89,97,7.07
1788046,xuchang,CN,1644100004,34.0167,113.8167,29.28,39,100,4.12
2074865,carnarvon,AU,1644099986,-24.8667,113.6333,77.07,88,75,9.22
2032614,baruun-urt,MN,1644100109,46.6806,113.2792,-2.85,91,9,5.84
1737486,bintulu,MY,1644100117,3.1667,113.0333,77.41,94,20,4.61
2020313,mama,RU,1644100113,58.3106,112.8986,2.59,98,100,6.29
2018069,peleduy,RU,1644100055,59.6289,112.7406,8.28,96,100,4.9
1633442,paciran,ID,1644100120,-6.8767,112.3761,77.68,87,93,10.49
8079926,labuhan,ID,1644100123,-6.8844,112.2051,77.41,87,96,9.93
2037485,erenhot,CN,1644100008,43.6475,111.9767,2.64,89,5,7.74
1648451,bojonegoro,ID,1644100036,-7.1502,111.8817,74.3,93,80,6.15
2027296,aykhal,RU,1644100116,66.0,111.5,-11.76,100,92,4.5
1650434,bambanglipuro,ID,1644100002,-7.95,110.2833,62.6,85,76,2.42
1630789,pontianak,ID,1644100125,-0.0333,109.3333,75.18,100,100,2.3
1631637,pemangkat,ID,1644099832,1.1667,108.9667,77.41,88,86,5.46
2031964,darhan,MN,1644100114,49.4867,105.9228,-4.92,92,98,6.24
1816751,beidao,CN,1644100131,34.5686,105.8933,24.21,83,100,3.94
2032201,bulgan,MN,1644100028,48.8125,103.5347,-3.41,86,45,4.59
2027002,bayangol,RU,1644100111,50.6977,103.4656,-11.22,97,55,3.74
2022572,khatanga,RU,1644099814,71.9667,102.5,-24.05,96,99,3.36
1649150,bengkulu,ID,1644100063,-3.8004,102.2655,72.93,95,100,9.95
1735076,butterworth,MY,1644100092,5.3991,100.3638,80.01,89,20,2.3
1633419,padang,ID,1644099989,-0.9492,100.3543,74.14,94,100,3.76
1735106,georgetown,MY,1644099969,5.4112,100.3354,79.9,88,20,2.3
1503037,kodinsk,RU,1644099987,58.6881,99.1844,17.17,91,100,10.31
1213855,sibolga,ID,1644100005,1.7427,98.7792,75.09,91,100,2.57
1510689,baykit,RU,1644099911,61.67,96.37,15.31,90,98,9.17
1214488,meulaboh,ID,1644099998,4.1363,96.1285,75.43,84,100,3.31
1215502,banda aceh,ID,1644099872,5.5577,95.3222,78.24,78,96,4.72
1214026,sabang,ID,1644100089,5.8933,95.3214,80.83,75,96,11.16
1278969,along,IN,1644099990,28.1667,94.7667,44.91,97,53,1.66
1252840,wokha,IN,1644100061,26.1,94.2667,36.12,97,20,2.93
1529484,hami,CN,1644099857,42.8,93.45,26.37,28,100,8.99
1185095,teknaf,BD,1644100102,20.8624,92.3058,61.93,92,28,9.64
1516048,hovd,MN,1644100108,48.0056,91.6419,-13.43,78,21,4.09
1510377,belyy yar,RU,1644100037,53.6039,91.3903,-12.14,84,69,4.47
1254046,tura,IN,1644100022,25.5198,90.2201,48.42,92,0,2.33
1185239,mathbaria,BD,1644100126,22.2876,89.9593,57.92,61,0,5.03
1490256,talnakh,RU,1644099897,69.4865,88.3972,-17.84,100,99,2.71
1337240,nawabganj,BD,1644099996,24.5911,88.271,55.4,80,0,4.25
1488903,turukhansk,RU,1644100098,65.8167,87.9833,-18.08,100,65,1.19
1258658,ramjibanpur,IN,1644100048,22.8333,87.6167,57.0,60,0,5.37
1272237,dumka,IN,1644100010,24.2667,87.25,54.82,65,0,4.99
1529376,korla,CN,1644100108,41.7597,86.1469,22.87,42,72,8.9
1508894,borovoy,RU,1644100043,55.4333,86.0833,11.48,72,0,4.47
1529195,shihezi,CN,1644100046,44.3,86.0333,-1.35,93,55,5.32
1259184,puri,IN,1644100085,19.8,85.85,57.72,46,99,5.35
1488167,ust-koksa,RU,1644100116,50.2696,85.6108,-5.15,82,50,1.16
1283581,kalaiya,NP,1644100121,27.0327,85.0022,52.21,89,0,3.4
1261853,narasannapeta,IN,1644100060,18.4167,84.05,65.52,56,89,5.64
1520316,oskemen,KZ,1644100059,49.9565,82.6119,-13.04,76,100,4.47
1283285,jumla,NP,1644100038,29.2747,82.1838,24.44,60,1,6.08
1242110,kalmunai,LK,1644100056,7.4167,81.8167,74.12,78,80,6.62
1224061,wattegama,LK,1644100048,6.7989,81.4808,67.01,95,90,4.32
1504382,kargasok,RU,1644100120,59.0556,80.8572,19.24,93,100,5.93
1507390,dikson,RU,1644099993,73.5069,80.5464,-19.23,100,99,3.18
1235846,matara,LK,1644100047,5.9485,80.5353,72.68,91,50,7.43
1529660,aksu,CN,1644100083,41.1231,80.2644,22.62,64,80,5.79
1503856,khabary,RU,1644100122,53.6259,79.5345,2.25,89,56,7.05
1272145,dwarahat,IN,1644099995,29.7833,79.4333,37.27,80,1,3.18
1489853,tazovskiy,RU,1644099993,67.4667,78.7,-14.35,100,87,7.05
1490085,tarko-sale,RU,1644100028,64.9225,77.785,-17.64,100,95,3.58
1264976,leh,IN,1644100015,34.1667,77.5833,0.5,76,97,2.46
1256431,shorapur,IN,1644100026,16.5167,76.75,67.75,35,54,8.52
